sunaltitude,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
-12,94608,2023-07-01T00:00:00,57.6,57.6,52.6,83.49,0,0,,0,0,5.8,9.1,303,1012.2,19.7,9.8,0,0,0,10,Clear,clear-night,"72585093228,LBNL1,72493023230,KCCR,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T01:00:00,56.9,56.9,53.1,87.12,0,0,,0,0,5.8,6.8,309,1011.9,19.7,9.9,0,0,0,10,Clear,clear-night,"72585093228,72493023230,KCCR,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T02:00:00,56.8,56.8,53.1,87.43,0,0,,0,0,5.8,5.1,309,1011.7,19.7,9.9,0,0,0,10,Clear,clear-night,"72585093228,72493023230,KCCR,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T03:00:00,56.5,56.5,52.5,86.58,0,0,,0,0,5.8,5,327,1011.8,19.7,9.9,0,0,0,10,Clear,clear-night,"72585093228,LBNL1,72493023230,KCCR,KHWD,KOAK,72494023234"
-9.1,94608,2023-07-01T04:00:00,55.7,55.7,53,90.47,0,0,,0,0,4.7,2.4,329,1011.6,19.7,9.9,0,0,0,10,Clear,clear-night,"72585093228,LBNL1,72493023230,KCCR,KHWD,KOAK,72494023234"
1.2,94608,2023-07-01T05:00:00,55.4,55.4,52.4,89.38,0,0,,0,0,4.7,3.9,335,1011.7,19.7,9.9,0,0,0,10,Clear,clear-night,"72585093228,72493023230,KCCR,KHWD,KOAK,72494023234"
11.6,94608,2023-07-01T06:00:00,55.6,55.6,52.4,88.79,0,0,,0,0,4.7,0.8,349,1012,19.7,9.9,7,0,0,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
22.9,94608,2023-07-01T07:00:00,57.6,57.6,54,88,0,0,,0,0,4.7,0.8,349,1012.3,2.8,9.9,20,0.1,0,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
34.6,94608,2023-07-01T08:00:00,61.2,61.2,54.1,77.6,0,0,,0,0,5.8,3.3,312,1012.4,2.8,9.9,33,0.1,0,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
46.5,94608,2023-07-01T09:00:00,64.6,64.6,55.4,72.07,0,0,,0,0,5.8,4.1,313,1012.7,2.8,9.9,56,0.2,1,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
58.1,94608,2023-07-01T10:00:00,67.8,67.8,56.5,67.29,0,0,,0,0,6.9,7.6,290,1012.6,2.8,9.9,206,0.7,2,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
68.6,94608,2023-07-01T11:00:00,71,71,57,61.2,0,0,,0,0,6.9,6.2,293,1012.9,0,9.9,823,3,8,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
75.1,94608,2023-07-01T12:00:00,76.3,76.3,57.9,52.92,0,0,,0,0,9.2,7.5,303,1013,2.8,9.9,948,3.4,9,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
72.2,94608,2023-07-01T13:00:00,79.4,79.4,58.6,49.09,0,0,,0,0,10.3,9.1,303,1012.7,2.8,9.9,1012,3.6,10,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
62.8,94608,2023-07-01T14:00:00,82,82,58.2,44.4,0,0,,0,0,10.3,8.6,308,1012.2,0,9.9,1009,3.6,10,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
51.5,94608,2023-07-01T15:00:00,84.2,83.4,56.7,39.1,0,0,,0,0,12.8,11.7,306,1011.8,19.7,9.9,958,3.4,10,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
39.7,94608,2023-07-01T16:00:00,87,85.6,56.1,34.96,0,0,,0,0,12.8,10.6,320,1011.3,19.7,9.9,862,3.1,9,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
27.9,94608,2023-07-01T17:00:00,86,84.6,55.5,35.4,0,0,,0,0,11.4,10,305,1011.1,19.7,9.9,593,2.1,6,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
16.4,94608,2023-07-01T18:00:00,82.1,81.2,53.6,37.45,0,0,,0,0,10.3,12.2,312,1010.7,19.7,9.9,90,0.3,1,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
5.4,94608,2023-07-01T19:00:00,82.5,82.1,56.8,41.54,0,0,,0,0,8.1,8.1,299,1010.5,19.7,9.9,44,0.2,0,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
-5,94608,2023-07-01T20:00:00,76,76,57,51.83,0,0,,0,0,6.9,9.3,302,1010.5,19.7,9.9,31,0.1,0,10,Clear,clear-day,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T21:00:00,71,71,57.5,62.34,0,0,,0,0,5.8,3.5,325,1010.7,19.7,9.9,7,0,0,10,Clear,clear-night,"72585093228,72493023230,KCCR,D1132,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T22:00:00,69.8,69.8,58.7,67.9,0,0,,0,0,5.8,3.1,317,1011.1,2.8,9.9,0,0,0,10,Clear,clear-night,"72585093228,LBNL1,72493023230,KCCR,KHWD,KOAK,72494023234"
-12,94608,2023-07-01T23:00:00,68.5,68.5,55.9,64.2,0,0,,0,0,5.8,5.4,322,1011.4,0,9.9,26,0.1,0,10,Clear,clear-night,"72585093228,72493023230,KCCR,KHWD,KOAK,72494023234"
